instruction_term,count,cuisine
minutes,185,italian
heat,128,italian
cook,93,italian
oil,92,italian
dough,80,italian
stir,74,italian
salt,72,italian
sauce,71,italian
water,70,italian
bowl,65,italian
pepper,62,italian
pan,61,italian
remove,59,italian
garlic,57,italian
cover,57,italian
flour,56,italian
large,54,italian
place,52,italian
simmer,49,italian
chicken,48,italian
mixture,46,italian
cut,45,italian
oven,45,italian
stirring,44,italian
serve,44,italian
cheese,41,italian
butter,38,italian
top,37,italian
pasta,37,italian
meat,37,italian
let,37,italian
olive,36,italian
pot,36,italian
medium,36,italian
set,35,italian
well,35,italian
lightly,32,italian
together,32,italian
boil,32,italian
cup,30,italian
bake,30,italian
hot,30,italian
remaining,30,italian
mix,29,italian
sprinkle,28,italian
brown,28,italian
bring,28,italian
roll,27,italian
half,27,italian
hours,27,italian
cooking,26,italian
sugar,26,italian
transfer,25,italian
baking,25,italian
season,24,italian
make,24,italian
rice,24,italian
cool,24,italian
onion,23,italian
side,23,italian
combine,23,italian
sides,23,italian
wine,23,italian
tomatoes,23,italian
pour,22,italian
bread,22,italian
aside,22,italian
pieces,22,italian
saucepan,21,italian
sheet,21,italian
paper,21,italian
egg,21,italian
parsley,21,italian
using,20,italian
reduce,20,italian
skillet,20,italian
small,20,italian
one,20,italian
wrap,20,italian
cream,20,italian
plastic,20,italian
parmesan,19,italian
continue,19,italian
drain,19,italian
coat,19,italian
dry,19,italian
another,19,italian
basil,19,italian
filling,19,italian
golden,19,italian
low,18,italian
liquid,18,italian
whisk,18,italian
balls,18,italian
degrees,18,italian
slice,18,italian
use,18,italian
warm,17,italian
turn,17,italian
dip,17,italian
eggs,17,italian
serving,17,italian
ingredients,16,italian
return,16,italian
tablespoons,16,italian
tender,16,italian
preheat,16,italian
broth,16,italian
spread,16,italian
tomato,16,italian
temperature,16,italian
hour,16,italian
bottom,15,italian
allow,15,italian
lemon,15,italian
least,15,italian
taste,15,italian
